label,text
NO_PRETOX_REL,"Animals were dosed for 4 cycles , receiving doses of 0 ( control ) , 0.06 , 0.2 and 0.6 mg / kg per day at a dose volume of 2 mL / kg ."
NO_PRETOX_REL,"In Weeks 1 , 12 , 25 , 38 and 51 heparinized whole blood was collected from 5 animals / sex / group for determination of blood drug levels ."
PRETOX_REL,- decrease in heart rate was noted in male animals on day 8 .
PRETOX_REL,Haemorrhages and infarcts were found in a large number of organs .
NO_PRETOX_REL,All animals survived the 13 - week dosing period .
NO_PRETOX_REL,No sex effect was observed except on the first day when measurable levels appeared later in the females than in males .
NO_PRETOX_REL,"This study was designed to establish a no toxic effect level , to estimate the toxicokinetic profile , and to estimate the potential for reversal of any toxic effects within a 4 - week recovery phase ."
NO_PRETOX_REL,"When compared to controls the administration of COMPOUND_XXX , daily , for 4 weeks produced the following treatment - related changes ."
NO_PRETOX_REL,One high - dose recovery animal was terminated prior to the end of study in response to a condition suspected to be due to an error in dosing .
NO_PRETOX_REL,"However , systemic exposure , as indicated by maximum concentrations and a limited number of samples above the lower limit of quantification ( LLOQ , 0.1 ng / mL ) , increased with the dose and with the time period of treatment ."
NO_PRETOX_REL,Blood was collected at various time points for toxicokinetic analysis on days 1 and 15 .
NO_PRETOX_REL,Theses dermal findings are deemed related to treatment with the test substance .
NO_PRETOX_REL,Water consumption showed no treatment - related changes in males at any dose level compared to control .
PRETOX_REL,Three males and one female receiving 1.5 / 1.0 mg / kg / occasion were noted as being thin in appearance from Week 7 of the study onwards .
NO_PRETOX_REL,"The degree of thickening was dose - dependant up to 1000 mg / kg / day , when a plateau was reached ."
NO_PRETOX_REL,The lists of individual data are given in Appendix 2 .
NO_PRETOX_REL,"The purpose of this study was to establish the toxicologic effects of COMPOUND_XXX , a protein - tyrosine kinase inhibitor , when administered to rats for at least 26 weeks ."
NO_PRETOX_REL,No test article related microscopic findings were noted in the animals that were dosed twice weekly .
NO_PRETOX_REL,"XXXX ) and Placebo to COMPOUND_XXX ( patches , batch no ."
NO_PRETOX_REL,"III ) , resp ."
NO_PRETOX_REL,"The rats received daily doses of 0 ( CMC - vehicle control ) , 0 ( distilled water control ) , 10 , 40 , 180 , and 800 of Ro mg / kg / day 24-7429/002 at a constant volume of 5 ml / kg / day ."
PRETOX_REL,Minimal to moderate liver alterations were present in both treated groups with substantial individual variations in occurrence and severity .
NO_PRETOX_REL,Female animals appeared to be exposed to higher levels of COMPOUND_XXX compared to males .
PRETOX_REL,Total food consumption was slightly low for males at 50 mg / kg / day and for males and females during treatment at 75 mg / kg / day .
NO_PRETOX_REL,Systemic exposure to COMPOUND_XXX was generally dose proportional .
PRETOX_REL,"Decedent : On study day 13 , one satellite female at 30 mg / kg / day was sacrificed due to animal welfare reasons and selected for necropsy ."
PRETOX_REL,"Analogously , hyperinsulinemia as a consequence of an insulin - secreting tumor has also been associated with development of peripheral nerve pathology [ 6 ] ."
PRETOX_REL,None of the observed effects apart from the vomiting is regarded as adverse .
NO_PRETOX_REL,individual body weights and food consumption were recorded weekly .
NO_PRETOX_REL,"Food consumption was unchanged during the treatment period in both genders , and in females during the recovery period ."
NO_PRETOX_REL,XXXXX .
NO_PRETOX_REL,The reversibility from the effects was also assessed during a 2 - week recovery period .
PRETOX_REL,Only very slight erythema was noted in animals dosed twice weekly .
NO_PRETOX_REL,"Organ Weights The comparison of mean values of absolute and relative organ weights of the test article treated animals to the corresponding values of the control animals and a statistical analysis by using the DUNNETT test showed a compound - related difference between the test article treated animals and the controls ( see Text Tables in the appendix Several other partly statistically significant differences in group mean absolute and / or relative organ weights were considered incidental and not compound - related as they were slight , not dose - related , observed only in one sex and / or unaccompanied by correlated morphologic findings ."
NO_PRETOX_REL,"The No Observed Effect Level in this study was 50 ppm in both sexes , equating approximately to 3.5 mg / kg / day in males and 4.1 mg / kg / day in females ."
PRETOX_REL,At necropsy all group III ( 30/60 mg / kg ) - males showed a reddish discoloration of the mesenteric lymph nodes .
NO_PRETOX_REL,It is deemed related to treatment with the test substance .
NO_PRETOX_REL,The details can be taken from the pathology report in the appendix of the report .
PRETOX_REL,"In females , mean absolute liver weight , liver to body weight and liver to brain weight ratios were increased by 20 % , 24 % and 18 % , respectively ."
NO_PRETOX_REL,There were no consistent differences in exposure to COMPOUND_XXX or YYYYY between males and females .
NO_PRETOX_REL,All organ weight changes were reversible following the recovery period .
PRETOX_REL,"Laboratory diagnostics : - decrease in index of erythropoiesis / granulopoiesis , decrease in the number of erythropoietic cells and an increase in the number of neutrophilic cells was observed in the bone marrow examination in male animals ( interim sacrifice on day 10 ) ."
PRETOX_REL,"In all high - dose rats , the ear pinnae , xiphoid cartilages , and skin were discolored yellow ."
PRETOX_REL,"In conclusion , oral administration of COMPOUND_XXX by gavage to rats for 4 weeks resulted in test article - related statistically significant decreases in mean body weight and mean body weight gain in males at 60 mg / kg / day , organ weight changes in both sexes at 60 mg / kg / day and renal changes in males at doses ≥ 6 mg / kg / day ."
PRETOX_REL,Otherwise only background findings common to Füllinsdorfer Albino - rats were seen .
NO_PRETOX_REL,The relevance of these findings remains unclear .
PRETOX_REL,"Microscopic examination of the joints revealed growth plate thickening , indicating pharmacological activity , without any adverse changes ."
NO_PRETOX_REL,"( ~ ~ Microscopic investigation of the urinary sediments involving differentiation into bacteria , epithelial cells , leucocytes , erythrocytes and amorphous salts did not bring to light any notable quantitative or qualitative differences between the control groups and the treatment groups up to and including group Ill as regards the composition of the sediments ."
NO_PRETOX_REL,There were no COMPOUND_XXX - related changes at 40 mg / kg / day .
NO_PRETOX_REL,"The following investigations were performed : mortality , clinical signs , body weight , urinalysis , toxicokinetic investigations , necropsy , macroscopic and microscopic examinations ( including immunohistochemistry ) , and pharmacogenomic investigations ."
NO_PRETOX_REL,"The study was designed to establish a no - observed - adverse - effect level ( NOAEL ) , to estimate the toxicokinetic profile , and to estimate the potential for reversal of any toxic effects within a 4 - week postdosing phase ."
PRETOX_REL,"COMPOUND_XXX - related reductions in neutrophil , lymphocyte , monocyte and eosinophil counts at 30 and 75 mg / kg were associated with myeloid series changes ( maturation arrest ) observed during bone marrow cytological evaluation ."
NO_PRETOX_REL,"No treatment - related effects on hematological parameters , organ weights , macroscopic or microscopic findings were observed at either 100 or 300 mg / kg / day ."
PRETOX_REL,Adrenal cortical hypertrophy noted at the high dose as well as reductions in thymus and spleen weights were attributed to a stress - like response to hypoglycemia .
NO_PRETOX_REL,a. Clinical observations The table for the evaluation of the nutritional state can be found in the appendix of the report .
NO_PRETOX_REL,"Blood samples for hematology and clinical chemistry were collected at pretest , and on day 14 ."
PRETOX_REL,"In histopathology treatment related findings were observed in the hemolymphatic system , gastrointestinal tract , female reproductive tract , kidney , bone , salivary glands , lung , trachea and thyroid gland ."
PRETOX_REL,8 ) Increased weight of the salivary glands was noted in females in the 50 mg / kg group .
NO_PRETOX_REL,The reversibility of treatment - related effects was assessed following a four - week recovery period .
NO_PRETOX_REL,Toxicokinetic analysis revealed a dose - dependent systemic exposure .
NO_PRETOX_REL,All findings showed a tendency to normalization by the end of the recovery period .
PRETOX_REL,"The number of neutrophilic granulocytes was slightly increased ( statistically significant ) , whereas the absolute basophil number was slightly decreased ( statistically significant ) ."
NO_PRETOX_REL,"The purpose of this study was to establish the toxicologic effects of COMPOUND_XXX , a histone deacetylase inhibitor , when administered intravenously to rats for 13 weeks using a once weekly dosing schedule ."
PRETOX_REL,"vomit and hypersalivation in males and females treated at 75 mg / kg / day , ."
PRETOX_REL,Sporadic food left was observed at 25 mg / kg and higher .
NO_PRETOX_REL,"Concerning the water intake , there were no descriptions of unusual findings in water intake in the observation records ."
NO_PRETOX_REL,"Three groups will be treated with one formulation at three different concentrations ( 0 % , 10 % and 20 % ) ."
PRETOX_REL,Rales was occasionally observed in the 600 and 2000 mgikgíday groups one hour following dosing .
PRETOX_REL,"In animals with renal changes , the bone changes were complicated by secondary increases in bone resorption of tibia and alveolar bones ."
PRETOX_REL,"Statistically significant drug - related decrease in body weight gains were detected in the high dose males ( 15 % ) and low ( 10 % ) , mid ( 10 % ) and high dose ( 27 % ) females ."
NO_PRETOX_REL,The present data set gives no indication of gender - specific differences in pharmacokinetics of COMPOUND_XXX in minipigs .
PRETOX_REL,The spermatogenesis was markedly impaired .
PRETOX_REL,"Adrenal cortical alterations increased with treatment duration and included vacuolation , hypertrophy , single cell necrosis , hemorrhage / congestion and inflammatory cell infiltration and after the recovery period pigment deposition ."
PRETOX_REL,"In conclusion , treatment with COMPOUND_XXX caused a notably high early mortality at a dose of 600 mg / kg / day , a dose - related decrease in serum glucose , and minimal to mild axonal degeneration in sciatic ( peripheral ) nerves of rats treated with 100 , 300 , or 600 mg / kg / day of COMPOUND_XXX ."
NO_PRETOX_REL,Electron microscopic evaluation of heart tissue from selected animals treated with COMPOUND_XXX at 80 mg / kg for 28 days generally showed the same ultra-morphology of all cellular organelles as the corresponding control animals .
NO_PRETOX_REL,The dogs in all test article - treated groups were exposed to COMPOUND_XXX .
PRETOX_REL,Electron microscopy revealed the occurrence of myeloid bodies in endothelial cells of heart and skeletal muscle which was distinct to striking and numerous after treatment with COMPOUND_XXX at 180 mg / kg / day .
NO_PRETOX_REL,"Various forms of Plasmodium sp , present in rare to occasional numbers , were identified microscopically in Wright 's stained blood films in animals of both sexes at doses ~ 30 mglkg / day and in two low - dose males ."
NO_PRETOX_REL,The exposure after approximately 11 and 25 weeks of treatment on a 3 doses / week regime was similar but was higher than exposure on Day 1 .
PRETOX_REL,"The principal test article - related microscopic findings consisted of thyroid changes ( ~ 0.06 mg / kg / day ) , depletion of lymphoid tissue ( ~ 0.2 mg / kg / day ) , thymic atrophy ( 0.6 mg / kg / day ) , decreased bone marrow hematopoiesis ( 0.6 mg / kg / day ) , and intracellular pigment deposition at various sites ( ~ 0.2 mg / kg / day ) ."
PRETOX_REL,Slight reductions in body - weight gain and food consumption were observed in males and females given 225 and 500 mgikg / day of NS and in females given 500 mg / kHday of OS .
PRETOX_REL,At the high dose these lung findings escalated to diffuse foam cell aggregation associated with acute / mixed inflammation and hyperplasia of alveolar type II pneumocytes .
PRETOX_REL,", 20 Due to a moribund condition animal H 062 / group | had to be sacrificed prematurely at the end of week 13 of the study ( see also , a. Clinical observations "" ) ."
PRETOX_REL,One 30 mg / kg female showed a markedly increased GLDH value ( animal no. 36 ) .
PRETOX_REL,"Additionally , all group III ( 30/60 mg / kg ) - males showed a minimal infiltration with granulocytes ."
PRETOX_REL,"As can be seen from the table , feed intake was slightly reduced in group Ill - males in comparison to control animals whereas in females no changes were observed up to and including group III ."
PRETOX_REL,Increased serum TSH levels and increased relative kidney weights were observed in female rats .
NO_PRETOX_REL,The mechanisms of toxicity and surrogate markers were also evaluated .
NO_PRETOX_REL,In uterine samples mean concentrations of COMPOUND_XXX were about 1000 times higher than the highest serum concentrations measured ( TT 1 ) .
PRETOX_REL,In addition at the mid dose of 20 mg / kg COMPOUND_XXX per day and higher : Clinical examinations : - emaciation occurred in one male animal of the mid dose .
NO_PRETOX_REL,"Protocol - specified organs were weighed and tissues were collected , processed and microscopically examined for all animals ."
PRETOX_REL,"The only histopathological finding related to COMPOUND_XXX treatment was minimal to slight segmental degeneration of the sciatic nerve in female rats , which was evident in at least one animal at all dose levels ."
NO_PRETOX_REL,Accumulations of granulocytes are absent .
PRETOX_REL,"Transient local effects at the application site were limited to occasional erythema , mainly at the high dose during the first 9 weeks of the study and a slightly lower body weight gain was noted in treated males of all groups including Placebo Nail Lacquer and in females at 270 mg / kg compared with sham controls ."
NO_PRETOX_REL,"On Day I. peak plasma concentrations in males were 266 ± 340 ng / ml , 529 ± 224 ng / ml and 1007 ± 440 ng / ml for 5 , 15 and 60 mg / kg / day respectively ."
NO_PRETOX_REL,"After treatment for 2 or 4 weeks , exposure to COMPOUND_XXX or its metabolite COMPOUND_XXX doseproportionally increased from 120 to 180 mg / kg / day while for an under - proportional increased exposure was observed from 5 to 15 mg / kg / day ."
PRETOX_REL,The lesion was characterized by a minimal or slight perivascular edema of larger arteries located in the proximal parts of the papillary muscle .
PRETOX_REL,"Adverse treatment - related effects were limited to slight , reversible degenerative changes in the sciatic nerve of female rats at all dose levels ."
NO_PRETOX_REL,"Gravimetric organ findings The absolute and relative organ weights are listed in the appendix of the report in the form of individual values , mean values per group ."
NO_PRETOX_REL,There were no clinical signs of toxicity .
NO_PRETOX_REL,No clinical signs were observed .
NO_PRETOX_REL,The purpose of this study was to compare the toxicity and toxicokinetic profile of COMPOUND_XXX produced by a new route of chemical synthesis with that produced by the old route of synthesis .
PRETOX_REL,"With the exception of dermal lesions observed at the site of test article administration , no gross pathology findings were considered to be test article related ."
NO_PRETOX_REL,The treatment period was followed by a four - week recovery period to determine the persistence or reversibility of any treatment - related effects .
PRETOX_REL,"Anemia and slight increases in AST and ALT , indicative for hepatocellular damage , were further findings ."
NO_PRETOX_REL,No relevant body and organ weight changes were found in females .
NO_PRETOX_REL,All changes were reversible on withdrawal of treatment .
PRETOX_REL,"Drug - related effects on food consumption were noted in Group · V animals , an approximate 10 - 15 % decrease was noted ."
NO_PRETOX_REL,"Clinical pathology evaluations ( hematology including coagulation , clinical chemistry and urinalysis ) were conducted on all animals during pretest and week 4 and at the end of the recovery period ."
NO_PRETOX_REL,Complete coverage of the administration area with the test or reference item generally persisted for 1 to 5 days .
NO_PRETOX_REL,Hematology and clinical chemistry were performed during the last week of the study .
NO_PRETOX_REL,On Week 52 .
NO_PRETOX_REL,This finding was no longer present at the end of recovery .
NO_PRETOX_REL,Repeated oral administrations of 20 mg / kg / d were clinically tolerated over 7 days .
NO_PRETOX_REL,"COMPOUND_XXX was administered by dermal skin painting to the dorsal surface ( approximately 10 % of total body surface area ) of CD - 1 mice ( 5 / sex / group ) at dose levels of 100 , 200 or 270 mg / kg for at least 28 days ."
NO_PRETOX_REL,"The test item , COMPOUND_XXX ( lactate salt ) Batch No ."
NO_PRETOX_REL,There were no other effects on body weights or absolute body weight gains for males or females at doses : : : : ; 0.3 mglkg after the first dosing cycle .
PRETOX_REL,"Changes unrelated to COMPOUND_XXX : None Body Weights ( Tables 2 - 1 to 2 - 3 , Appendices 2 - 1 to 2 - 12 ) Changes related to COMPOUND_XXX : At 50 mg / kg , significant decreases were noted on Day 29 , and increases were noted on Days 64 to 78 , and 113 to 134 compared to the controls ."
NO_PRETOX_REL,The batch used for this study was XXXXXX .
NO_PRETOX_REL,It is considered not to represent a potential risk to man .
NO_PRETOX_REL,The concentration of the week 13 low dose formulation was outside of specification ( 116 % of target ) .
NO_PRETOX_REL,The AUC 5min - 3h also increased over - proportionally in relation to the dose increase between 0.1 and 1.0 mg / kg .
NO_PRETOX_REL,Conclusion / Discussion A NOAEL could not be determined under the conditions of the study .
NO_PRETOX_REL,"Therefore , under these study conditions , the dose of 10 mg / kg / day was considered to be a NoObserved Effect Level ( NOEL ) and the dose of 30 mg / kg / day was considered to be a NoObserved Adverse Effect Level ( NOAEL ) based on urinalysis variations and minimal microscopic findings in the diaphragm ."
NO_PRETOX_REL,"Results Formulation analysis revealed that the dose groups were sufficiently exposed to the test item : The animals received mostly the anticipated concentrations ( 85 – 115 % ) , with the exception of 3 samples with concentrations that were slightly above the predefined acceptance limit ."
NO_PRETOX_REL,RESULTS General findings Tests of the reflexes showed no adverse effects up to and including group Ul { individual data see appendix of the report ) .
NO_PRETOX_REL,"Following oral administration , COMPOUND_XXX was quickly absorbed reaching peak plasma concentrations in approximately 0.5 to 2 hours ."
PRETOX_REL,A mild to moderate increase in circulating lymphocytes and neutrophils was seen .
PRETOX_REL,Increases in cardiac troponin I in animals treated with COMPOUND_XXX indicated cardiotoxicity at 180 mg / kg / day and correlated with histological changes in the heart .
PRETOX_REL,"Organ weight changes were noted at 60 mg / kg / day , including increased heart and kidney weights in both sexes and increased liver and decreased thyroid weights in females only ."
NO_PRETOX_REL,"Groups of 8 or 10 male control animals similarly received the above mentioned vehicle at 5 mL / kg for 3 days or 4 weeks , respectively ."
PRETOX_REL,"Minimally higher liver weights were noted from the low dose in females with , in addition , pale liver for some females at 320 mg / kg ."
NO_PRETOX_REL,Organ weights No compound related findings .
NO_PRETOX_REL,"Clinical signs , body weight and food consumption determinations were performed on all the animals ."
NO_PRETOX_REL,The toxicological relevance of these findings is debatable .
PRETOX_REL,Test article - related moribundity occurred during week 3 in one female at 80 mg / kg / day following approximately 9 daily doses .
NO_PRETOX_REL,Selected clinical chemistry parameters were determined at the end of the study .
NO_PRETOX_REL,Complete necropsies including macroscopic assessments were performed on all animals .
PRETOX_REL,"During the recovery period , food consumption was also reduced in animals treated with 10 umol / kg bw ."
PRETOX_REL,"At histopathology the female rats of all dose groups ( 3 , 10 , and 30 mg / kg ) exhibited a cytoplasmatic vacuolation in the zona fasciculata of the adrenal gland ."
NO_PRETOX_REL,D6 is an intermediate of drug synthesis and has shown to be mutagenic in the AMES test .
PRETOX_REL,"Notable body weight losses occurred in individual animals as early as day 15 and persisted and / or worsened on days 22 , 26 and 29 ."
NO_PRETOX_REL,"An additional 36 animals / sex / group received 100 , 200 or 270 mg / kg daily for toxicokinetic evaluations on Days 1 and 28 ."
PRETOX_REL,The increase in the liver weight ratio in males from group I ~ II are considered to be spontaneous in origin as no histopathological alterations occurred in the liver of male animals .
NO_PRETOX_REL,"At 25 mg / kg , significant decreases were noted on Days 50 to 64 , and increases were noted on Days 113 to 141 , 155 , 176 , and 183 compared to the controls ."
PRETOX_REL,T4 levels were decreased in male and female rats .
PRETOX_REL,"In group III , the heart rates were increased in both sexes in week 1 and 4 two hours after application respectively ."
NO_PRETOX_REL,"A further group received 2000 mg / kg / day subdivided into 2 equal doses , separated by 1 hour ."
PRETOX_REL,Relative liver weight was increased in both males and females .
PRETOX_REL,"At post-mortem , animals given 1000 mg / kg / day had swollen hindlimbs with restricted movement of the joints ."
PRETOX_REL,"Regarding clinical chemistry parameters , the increased GLDH observed only in one 30 mg / kg female was considered incidental ."
PRETOX_REL,"From macroscopic and microscopic observations at premature and / or terminal kill , degenerative / atrophic changes were seen in the haemolymphopoietic system , lungs , intestines and ovaries mainly at the dose level of 40 mg / kg and were considered as toxicological targets of the compound COMPOUND_XXX as follows : - the bone marrow hypocellularity was noted in all animals given 40 mg / kg and was the histological correlate of the fluid femoral bone marrow seen for 5/10 males and 4/7 prematurely killed females given 40 mg / kg ."
NO_PRETOX_REL,Clinical Pathology : There were no clinical chemistry or hematology changes in rats given 40 or 160 mg / kg / day .
NO_PRETOX_REL,Additionally one sample was obtained for all animals 24 hours after dosing on one occasion in Week 26 .
NO_PRETOX_REL,"SUMMARY AND CONCLUSIONS : Plasma samples from rats on days 1 , 15 and 29 of treatment with 0 ( vehicle control ) , 0 ( distilled water control ) , 10 , 40 , 180 or in mg / kg / day for 29 days ( protocol 05591 ) were analyzed by a solvent extraction - HPLC / UV method ."
PRETOX_REL,All male animals were interim sacrificed on day 10 of the test with regard to clear signs of liver toxicity detected in biochemical examinations on day 8 .
PRETOX_REL,"Food consumption was significantly reduced as compared to controls in males and females administered the 0.9 mg / kg dose at the end of the first , third and / or fourth dosing cycles ."
NO_PRETOX_REL,A control group of 3 male and 3 females received empty capsules during the treatment period and then no capsules during the recovery period .
NO_PRETOX_REL,"At the initiation of dosing , the animals were approximately 8 weeks of age and weighed 219.5 to 261.5 g for males and 160.6 to 196.7 g for females ."
NO_PRETOX_REL,Control animals received 1 % CMC only .
NO_PRETOX_REL,The increase in exposure was generally doseproportional in both male and female animals .
PRETOX_REL,"However , the neurodegeneration induced by COMPOUND_XXX can not be regarded as a gender - specific effect since males and females were similarly affected in a 5 - day dose range - finding toxicity study [ 1 ] ."
NO_PRETOX_REL,There was no evidence of any findings which could be related to ~ dosing with the test compound in this animal .
PRETOX_REL,Test article - related statistically significant decreases in mean body weight and mean body weight gain were noted in males at 60 mg / kg / day .
NO_PRETOX_REL,"In particular , no organ toxicity was observed ."
PRETOX_REL,"On histopathological examination , the scabs were found to be foci of necrotic dermatitis , although their histological appearance did not give any indication of their pathogenesis ."
NO_PRETOX_REL,Blood samples for hematology and clinical chemistry parameters were collected pretest and in week 2 .
NO_PRETOX_REL,There were no compound - related effects on any of the parameters assessed .
NO_PRETOX_REL,The treated areas of the right flank and untreated skin from the flank were examined microscopically .
NO_PRETOX_REL,These changes were reversible within the recovery period .
NO_PRETOX_REL,"The following investigations were performed ; mortality , clinical observations , body weight , food consumption , hematology , clinical biochemistry , organ weights , microscopic examination as well as toxicokinetics ."
NO_PRETOX_REL,Maximum concentrations of COMPOUND_XXX in serum were determined in most cases 1 h after intragastric administration of the drug .
PRETOX_REL,Mean body weight gain is dose - dependently decreased in 8 and 80 mg / kg / d males and increased in 8 and 80 mg / kg / d females .
NO_PRETOX_REL,"The mean AUC ( 0 - 24h0 values of COMPOUND_XXX were 6410 , 49400 , and 122000 ng.hr / ml in females given 40 , 160 , and 400 mg / kg / day , respectively ."
PRETOX_REL,"In - life findings were limited to transient decreases in bodyweight gain and food intake during the first four days of dosing , possibly due to poor palatability of the compound ."
NO_PRETOX_REL,"In conclusion , doses less than 100 mg / kg / day ( 50 mg / kg b.i.d. ) are recommended for future COMPOUND_XXX gavage ( b.i.d. ) studies in monkeys ."
PRETOX_REL,Degenerative cardiac lesions were observed with ultrastructural alterations in the lysosomal compartment .
PRETOX_REL,"In the heart at 1.0 ( 1.5 ) mg / kg / day , small isolated foci of single fiber necrosis with inflammatory cell reaction and arteriitis / periarteriitis were seen in terminally sacrificed animals ."
PRETOX_REL,"In the urinary bladder , edema , erosions and inflammatory cell infiltration were present at the earlier time points , particularly in the neck region of the bladder ."
PRETOX_REL,"Hematologically , slightly decreased in red blood cell parameters indicate a slight anemia at the mid dose and higher ."
PRETOX_REL,Increased urinary NAG and GGT levels as well as electrolyte imbalances in high dose animals point to renal impairment at the high dose of 2.0 mg / kg COMPOUND_YYY .
NO_PRETOX_REL,The animals assigned to the untreated Control group and those which had received 0.1 / 0.3 mg / ml were treated at 0.3 mg / ml and the animals assigned to the vehicle Control group and those which had received 0.2 mg / ml were treated at 0.4 mg / ml .
NO_PRETOX_REL,These effects were reversible following a 4 - week treatment - free recovery period .
NO_PRETOX_REL,There were no differences in exposure between males and females .
NO_PRETOX_REL,Anatomic Pathology : There were no COMPOUND_XXX - related microscopic changes at 40 mg / kg / day .
